Data,Modelo,Produto,Loja,Preco_USD,Preco_BRL,Codigo,Link_Produto,Link_Loja
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,Apple iPhone 17 Pro Max 256GB JP - Orange,Xcell,1330.0,6929.3,34018,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-256gb-jp-orange__5371252/,https://xcell.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,Apple iPhone 17 Pro Max A3257 Dual 256 GB - Deep Blue,Ushuaia Center,1330.0,6929.3,7356,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-a3257-dual-256-gb-deep-blue__5536028/,https://ushuaiacenter.com.py
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,Apple iPhone 17 Pro Max 256GB A3257 LL/A Esim - Silver,Xcell,1330.0,6929.3,33323,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-256gb-a3257-lla-esim-silver__5335642/,https://xcell.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,Apple iPhone 17 Pro Max 256GB Americano (Esim) - Blue,Mestre,1330.0,6929.3,15500,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-256gb-americano-esim-blue__5015239/,https://www.mestreatacado.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,Apple iPhone 17 Pro Max 256GB Americano (Esim) - Orange,Mestre,1330.0,6929.3,15510,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-256gb-americano-esim-orange__5018564/,https://www.mestreatacado.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,iPhone 17 Pro Max Esim 256GB Cosmic Orange LL,Orbe Import,1330.0,6929.3,16148,https://www.comprasparaguai.com.br/iphone-17-pro-max-esim-256gb-cosmic-orange-ll__5368293/,https://orbeimport.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,iPhone 17 Pro Max Esim 256GB Silver LL,Orbe Import,1330.0,6929.3,16162,https://www.comprasparaguai.com.br/iphone-17-pro-max-esim-256gb-silver-ll__5368291/,https://orbeimport.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,Apple iPhone 17 Pro Max 256GB A3257 LL/A Esim - Deep Blue,Xcell,1330.0,6929.3,33320,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-256gb-a3257-lla-esim-deep-blue__5335641/,https://xcell.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,iPhone 17 Pro Max 256GB Deep Blue,Empire Shop,1450.0,7554.5,1150-1,https://www.comprasparaguai.com.br/iphone-17-pro-max-256gb-deep-blue__5279014/,https://www.empireshop.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,Apple iPhone 17 Pro Max 256GB JP - Blue,Xcell,1330.0,6929.3,34017,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-256gb-jp-blue__5371250/,https://xcell.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,iPhone 17 Pro Max Esim 256GB Deep Blue LL,Orbe Import,1330.0,6929.3,16155,https://www.comprasparaguai.com.br/iphone-17-pro-max-esim-256gb-deep-blue-ll__5368292/,https://orbeimport.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,Cel iPhone 17 Pro Max 512GB Blue New Usa,Cell World,1644.99,8570.4,60529668,https://www.comprasparaguai.com.br/cel-iphone-17-pro-max-512gb-blue-new-usa__5224768/,https://www.cellworldimport.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,Apple iPhone 17 Pro Max 256GB Americano (Esim) - Silver,Mestre,1330.0,6929.3,15514,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-256gb-americano-esim-silver__5020365/,https://www.mestreatacado.com/
